rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,anom_swh_mean_deseasonalized_detrended_abs_change_5 > threshold,6,0.4821330983555325,0.05142596246290439,0.5270994964813137,0.5074783549783549,0.7908675799086757,224,261,1508,197,6
single,anom_swh_mean_abs_change_5 > threshold,6,0.48196881556362686,0.06685113288190143,0.5486806806666631,0.4738961038961038,0.8091324200913242,212,209,1560,209,6
single,anom_swh_p80_deseasonalized_detrended_trend_5 > threshold,6,0.48111145891918555,0.03588571176285354,0.451489309628434,0.5335443722943722,0.7780821917808219,226,291,1478,195,6
majority_3,"Majority of anom_swh_p80_trend_7, anom_swh_p80_deseasonalized_detrended_trend_5, anom_swh_p80_deseasonalized_trend_5",6,0.48111145891918555,0.03588571176285354,0.451489309628434,0.5335443722943722,0.7780821917808219,226,291,1478,195,6
single,anom_swh_p80_deseasonalized_trend_5 > threshold,6,0.48111145891918555,0.03588571176285354,0.451489309628434,0.5335443722943722,0.7780821917808219,226,291,1478,195,6
piecewise,anom_swh_p80_deseasonalized_trend_5 > t1 if anom_swh_max_waverys > t2 else anom_swh_p80_deseasonalized_trend_5 > t3,6,0.48111145891918555,0.03588571176285354,0.451489309628434,0.5335443722943722,0.7780821917808219,226,291,1478,195,6
piecewise,anom_swh_p80_deseasonalized_detrended_trend_5 > t1 if anom_swh_p80_deseasonalized_trend_5 > t2 else anom_swh_p80_deseasonalized_detrended_trend_5 > t3,6,0.48111145891918555,0.03588571176285354,0.451489309628434,0.5335443722943722,0.7780821917808219,226,291,1478,195,6
majority_3,"Majority of anom_swh_p80_deseasonalized_detrended_trend_5, anom_swh_p80_deseasonalized_trend_5, anom_swh_max_waverys",6,0.48111145891918555,0.03588571176285354,0.451489309628434,0.5335443722943722,0.7780821917808219,226,291,1478,195,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p80_deseasonalized_detrended_rolling_mean_5 > t2,6,0.4810119583957941,0.06583867376236116,0.34647394697569905,0.8444246031746032,0.6456621004566211,363,718,1051,58,6
single,anom_swh_p25_deseasonalized_detrended_abs_change_14 > threshold,6,0.47989265824641497,0.05856917580410338,0.4776169733742508,0.4972095959595959,0.7995433789954337,211,229,1540,210,6
